TextFK	w1	w2	ct	sentence_number	vidn	comm
1	1	1	ROOT-ROOT-NOUN	1	0.0	Балада
1	2	3	case-nmod-ADP	1	1.0	
1	3	4	nmod-ROOT-NOUN	1	1.0	
1	4	5	punct-ROOT-PUNCT	1	1.0	
1	5	6	case-obl-ADP	2	1.0	
1	6	7	obl-ROOT-NOUN	2	1.0	
1	7	7	ROOT-ROOT-VERB	2	0.0	були
1	8	9	nsubj-ROOT-NOUN	2	1.0	
1	9	10	cc-conj-CCONJ	2	1.0	
1	10	11	conj-nsubj-NOUN	2	1.0	
1	11	12	punct-parataxis-PUNCT	2	1.0	
1	12	13	parataxis-ROOT-AUX	2	1.0	
1	13	14	nsubj-parataxis-NOUN	2	1.0	
1	14	15	flat:title-nsubj-ADJ	2	1.0	
1	15	16	cc-conj-CCONJ	2	1.0	
1	16	17	conj-flat:title-ADJ	2	1.0	
1	17	18	punct-ROOT-PUNCT	2	1.0	
1	18	19	nsubj-ROOT-NOUN	3	1.0	
1	19	19	ROOT-ROOT-VERB	3	0.0	бiгав
1	20	21	obj-ROOT-NOUN	3	1.0	
1	21	22	case-nmod-ADP	3	1.0	
1	22	23	nmod-obj-NOUN	3	1.0	
1	23	24	punct-parataxis-PUNCT	3	1.0	
1	24	25	nsubj-parataxis-NOUN	3	1.0	
1	25	26	parataxis-ROOT-VERB	3	1.0	
1	26	27	case-obl-ADP	3	1.0	
1	27	28	obl-parataxis-NOUN	3	1.0	
1	28	29	cc-conj-CCONJ	3	1.0	
1	29	30	conj-parataxis-VERB	3	1.0	
1	30	31	case-obl-ADP	3	1.0	
1	31	32	obl-conj-NOUN	3	1.0	
1	32	33	nmod-obl-NOUN	3	1.0	
1	33	34	punct-ROOT-PUNCT	3	1.0	
1	34	34	ROOT-ROOT-NOUN	4	0.0	гнилицi
1	35	36	punct-ROOT-PUNCT	4	1.0	
1	36	37	nsubj-ROOT-ADJ	5	1.0	
1	37	37	ROOT-ROOT-VERB	5	0.0	купався
1	38	39	case-obl-ADP	5	1.0	
1	39	40	obl-ROOT-NOUN	5	1.0	
1	40	41	punct-conj-PUNCT	5	1.0	
1	41	42	cc-conj-CCONJ	5	1.0	
1	42	43	conj-ROOT-VERB	5	1.0	
1	43	44	case-obl-ADP	5	1.0	
1	44	45	obl-conj-NOUN	5	1.0	
1	45	46	punct-conj-PUNCT	5	1.0	
1	46	47	cc-conj-CCONJ	5	1.0	
1	47	48	conj-ROOT-VERB	5	1.0	
1	48	49	obj-conj-NOUN	5	1.0	
1	49	50	case-nmod-ADP	5	1.0	
1	50	51	nmod-obj-NOUN	5	1.0	
1	51	52	punct-ROOT-PUNCT	5	1.0	
1	52	53	nsubj-ROOT-ADJ	6	1.0	
1	53	53	ROOT-ROOT-VERB	6	0.0	купався
1	54	55	case-obl-ADP	6	1.0	
1	55	56	obl-ROOT-NOUN	6	1.0	
1	56	57	punct-conj-PUNCT	6	1.0	
1	57	58	cc-conj-CCONJ	6	1.0	
1	58	59	conj-ROOT-VERB	6	1.0	
1	59	60	case-obl-ADP	6	1.0	
1	60	61	obl-conj-NOUN	6	1.0	
1	61	62	punct-conj-PUNCT	6	1.0	
1	62	63	cc-conj-CCONJ	6	1.0	
1	63	64	conj-ROOT-VERB	6	1.0	
1	64	65	obj-conj-NOUN	6	1.0	
1	65	66	case-nmod-ADP	6	1.0	
1	66	67	nmod-obj-NOUN	6	1.0	
1	67	68	punct-ROOT-PUNCT	6	1.0	
1	68	69	nsubj-ROOT-NOUN	7	1.0	
1	69	69	ROOT-ROOT-VERB	7	0.0	стрибав
1	70	71	case-obl-ADP	7	1.0	
1	71	72	amod-obl-ADJ	7	1.0	
1	72	73	obl-ROOT-NOUN	7	1.0	
1	73	74	punct-advcl-PUNCT	7	1.0	
1	74	75	mark-advcl-SCONJ	7	1.0	
1	75	76	advcl-ROOT-VERB	7	1.0	
1	76	77	case-obl-ADP	7	1.0	
1	77	78	obl-advcl-NOUN	7	1.0	
1	78	79	obj-advcl-NOUN	7	1.0	
1	79	80	punct-conj-PUNCT	7	1.0	
1	80	81	cc-conj-CCONJ	7	1.0	
1	81	82	advmod-conj-ADV	7	1.0	
1	82	83	conj-advcl-VERB	7	1.0	
1	83	84	obj-conj-NOUN	7	1.0	
1	84	85	punct-amod-PUNCT	7	1.0	
1	85	86	amod-obj-ADJ	7	1.0	
1	86	87	punct-amod-PUNCT	7	1.0	
1	87	88	amod-conj-ADJ	7	1.0	
1	88	89	conj-obj-NOUN	7	1.0	
1	89	90	case-obl-ADP	7	1.0	
1	90	91	amod-obl-ADJ	7	1.0	
1	91	92	obl-conj-NOUN	7	1.0	
1	92	93	nmod-obl-NOUN	7	1.0	
1	93	94	punct-obl-PUNCT	7	1.0	
1	94	95	case-obl-ADP	7	1.0	
1	95	96	amod-obl-ADJ	7	1.0	
1	96	97	obl-ROOT-NOUN	7	1.0	
1	97	98	obj-ROOT-NOUN	7	1.0	
1	98	99	punct-acl:relcl-PUNCT	7	1.0	
1	99	100	mark-acl:relcl-SCONJ	7	1.0	
1	100	101	acl:relcl-obj-VERB	7	1.0	
1	101	102	case-obl-ADP	7	1.0	
1	102	103	obl-acl:relcl-NOUN	7	1.0	
1	103	104	punct-advcl-PUNCT	7	1.0	
1	104	105	advcl-acl:relcl-VERB	7	1.0	
1	105	106	obj-advcl-NOUN	7	1.0	
1	106	107	case-obl-ADP	7	1.0	
1	107	108	obl-advcl-NOUN	7	1.0	
1	108	109	punct-ROOT-PUNCT	7	1.0	
1	109	110	punct-ROOT-PUNCT	7	1.0	
1	110	110	ROOT-ROOT-PUNCT	8	0.0	.
1	111	112	nsubj-ROOT-NOUN	9	1.0	
1	112	112	ROOT-ROOT-VERB	9	0.0	стрибав
1	113	114	case-obl-ADP	9	1.0	
1	114	115	amod-obl-ADJ	9	1.0	
1	115	116	obl-ROOT-NOUN	9	1.0	
1	116	117	punct-advcl-PUNCT	9	1.0	
1	117	118	mark-advcl-SCONJ	9	1.0	
1	118	119	advcl-ROOT-VERB	9	1.0	
1	119	120	case-obl-ADP	9	1.0	
1	120	121	obl-advcl-NOUN	9	1.0	
1	121	122	obj-advcl-NOUN	9	1.0	
1	122	123	punct-conj-PUNCT	9	1.0	
1	123	124	cc-conj-CCONJ	9	1.0	
1	124	125	advmod-conj-ADV	9	1.0	
1	125	126	conj-advcl-VERB	9	1.0	
1	126	127	obj-conj-NOUN	9	1.0	
1	127	128	punct-amod-PUNCT	9	1.0	
1	128	129	amod-obj-ADJ	9	1.0	
1	129	130	punct-amod-PUNCT	9	1.0	
1	130	131	amod-conj-ADJ	9	1.0	
1	131	132	conj-obj-NOUN	9	1.0	
1	132	133	case-obl-ADP	9	1.0	
1	133	134	amod-obl-ADJ	9	1.0	
1	134	135	obl-conj-NOUN	9	1.0	
1	135	136	nmod-obl-NOUN	9	1.0	
1	136	137	punct-obl-PUNCT	9	1.0	
1	137	138	case-obl-ADP	9	1.0	
1	138	139	amod-obl-ADJ	9	1.0	
1	139	140	obl-ROOT-NOUN	9	1.0	
1	140	141	obj-ROOT-NOUN	9	1.0	
1	141	142	punct-acl:relcl-PUNCT	9	1.0	
1	142	143	mark-acl:relcl-SCONJ	9	1.0	
1	143	144	acl:relcl-obj-VERB	9	1.0	
1	144	145	case-obl-ADP	9	1.0	
1	145	146	obl-acl:relcl-NOUN	9	1.0	
1	146	147	punct-advcl-PUNCT	9	1.0	
1	147	148	advcl-acl:relcl-VERB	9	1.0	
1	148	149	obj-advcl-NOUN	9	1.0	
1	149	150	case-obl-ADP	9	1.0	
1	150	151	obl-advcl-NOUN	9	1.0	
1	151	152	punct-ROOT-PUNCT	9	1.0	
1	152	153	punct-ROOT-PUNCT	9	1.0	
1	153	153	ROOT-ROOT-PUNCT	10	0.0	.
1	154	155	nsubj-ROOT-ADJ	11	1.0	
1	155	155	ROOT-ROOT-VERB	11	0.0	застиг
1	156	157	nsubj-ROOT-NOUN	11	1.0	
1	157	158	case-obl-ADP	11	1.0	
1	158	159	obl-ROOT-NOUN	11	1.0	
1	159	160	cc-conj-CCONJ	11	1.0	
1	160	161	case-conj-ADP	11	1.0	
1	161	162	conj-obl-NOUN	11	1.0	
1	162	163	case-nmod-ADP	11	1.0	
1	163	164	amod-nmod-ADJ	11	1.0	
1	164	165	amod-nmod-NOUN	11	1.0	
1	165	166	nmod-conj-NOUN	11	1.0	
1	166	167	punct-parataxis-PUNCT	11	1.0	
1	167	168	punct-parataxis-PUNCT	11	1.0	
1	168	169	parataxis-ROOT-VERB	11	1.0	
1	169	170	xcomp-parataxis-VERB	11	1.0	
1	170	171	punct-parataxis-PUNCT	11	1.0	
1	171	172	parataxis-parataxis-ADJ	11	1.0	
1	172	173	punct-parataxis-NOUN	11	1.0	
1	173	174	nsubj-ROOT-ADJ	12	1.0	
1	174	174	ROOT-ROOT-VERB	12	0.0	застиг
1	175	176	nsubj-ROOT-NOUN	12	1.0	
1	176	177	case-obl-ADP	12	1.0	
1	177	178	obl-ROOT-NOUN	12	1.0	
1	178	179	cc-conj-CCONJ	12	1.0	
1	179	180	case-conj-ADP	12	1.0	
1	180	181	conj-obl-NOUN	12	1.0	
1	181	182	case-nmod-ADP	12	1.0	
1	182	183	amod-nmod-ADJ	12	1.0	
1	183	184	amod-nmod-NOUN	12	1.0	
1	184	185	nmod-conj-NOUN	12	1.0	
1	185	186	punct-parataxis-PUNCT	12	1.0	
1	186	187	punct-parataxis-PUNCT	12	1.0	
1	187	188	parataxis-ROOT-VERB	12	1.0	
1	188	189	xcomp-parataxis-VERB	12	1.0	
1	189	190	punct-parataxis-PUNCT	12	1.0	
1	190	191	parataxis-parataxis-ADJ	12	1.0	
1	191	192	punct-parataxis-NOUN	12	1.0	
1	192	193	cc-ROOT-CCONJ	13	1.0	
1	193	194	discourse-ROOT-INTJ	13	1.0	
1	194	195	punct-discourse-PUNCT	13	1.0	
1	195	196	discourse-ROOT-PART	13	1.0	
1	196	197	nsubj-ROOT-NOUN	13	1.0	
1	197	198	discourse-ROOT-PART	13	1.0	
1	198	199	case-ROOT-ADP	13	1.0	
1	199	199	ROOT-ROOT-NOUN	13	0.0	раму
1	200	201	punct-ROOT-PUNCT	13	1.0	
1	201	202	punct-ROOT-NOUN	13	1.0	
1	202	202	ROOT-ROOT-ADJ	14	0.0	Дядьку
1	203	204	punct-ROOT-PUNCT	14	1.0	
1	204	205	obj-parataxis-VERB	14	1.0	
1	205	206	obj-parataxis-PRON	14	1.0	
1	206	207	parataxis-ROOT-ADV	14	1.0	
1	207	208	punct-parataxis-PUNCT	14	1.0	
1	208	209	punct-ROOT-NOUN	14	1.0	
1	209	210	obj-ROOT-ADV	15	1.0	
1	210	211	punct-nsubj-PUNCT	15	1.0	
1	211	212	nsubj-ROOT-NOUN	15	1.0	
1	212	213	det-nsubj-DET	15	1.0	
1	213	213	ROOT-ROOT-ADJ	15	0.0	оранжеве
1	214	215	punct-ROOT-NOUN	15	1.0	
1	215	216	advmod-ROOT-VERB	16	1.0	
1	216	217	det-nsubj-DET	16	1.0	
1	217	218	nsubj-ROOT-NOUN	16	1.0	
1	218	218	ROOT-ROOT-VERB	16	0.0	вiдкриває
1	219	220	obj-ROOT-PRON	16	1.0	
1	220	221	case-obl-ADP	16	1.0	
1	221	222	obl-ROOT-PRON	16	1.0	
1	222	223	punct-advcl-PUNCT	16	1.0	
1	223	224	mark-advcl-SCONJ	16	1.0	
1	224	225	advcl-ROOT-VERB	16	1.0	
1	225	226	amod-xcomp:sp-NOUN	16	1.0	
1	226	227	xcomp:sp-advcl-NOUN	16	1.0	
1	227	228	punct-ROOT-PUNCT	16	1.0	
1	228	229	mark-ROOT-SCONJ	17	1.0	
1	229	229	ROOT-ROOT-VERB	17	0.0	стати
1	230	231	amod-xcomp:sp-NOUN	17	1.0	
