,word,code,lemm,text_fk,sentence_number,word_Id
0,Балада,КИ,балада,5367,1,808948
1,про,ПВ,про,5367,1,808949
2,соняшник,ЙВ,соняшник,5367,1,808950
3,.,,,5367,1,808951
4,В,ПР,в,5367,2,808952
5,соняшника,ЙР,соняшник,5367,2,808953
6,були,ГН,бути,5367,2,808954
7,руки,КА,рука,5367,2,808955
8,i,СС,і,5367,2,808956
9,ноги,КА,нога,5367,2,808957
10,",",,,5367,2,808958
11,було,ГР,бути,5367,2,808959
12,тiло,ЛИ,тіло,5367,2,808960
13,шорстке,АС,шорсткий,5367,2,808961
14,i,СС,і,5367,2,808962
15,зелене,АС,зелений,5367,2,808963
16,.,,,5367,2,808964
17,Вiн,МИ,Він,5367,3,808965
18,бiгав,ГЕ,бігати,5367,3,808966
19,наввипередки,Н0,наввипередки,5367,3,808967
20,з,ПТ,з,5367,3,808968
21,вiтром,ЙТ,вітер,5367,3,808969
22,",",,,5367,3,808970
23,вiн,МИ,він,5367,3,808971
24,вилазив,ГЕ,вилазити,5367,3,808972
25,на,ПВ,на,5367,3,808973
26,грушу,КВ,груша,5367,3,808974
27,i,СС,і,5367,3,808975
28,рвав,ГЕ,рвати,5367,3,808976
29,у,ПВ,у,5367,3,808977
30,пазуху,КВ,пазуха,5367,3,808978
31,гнилицi,КУ,гнилиця,5367,3,808979
32,.,,,5367,3,808980
33,I,СС,і,5367,4,808981
34,купався,ГЭ,купатися,5367,4,808982
35,коло,ПР,коло,5367,4,808983
36,млина,ЙР,млин,5367,4,808984
37,",",,,5367,4,808985
38,i,СС,і,5367,4,808986
39,лежав,ГЕ,лежати,5367,4,808987
40,у,ПП,у,5367,4,808988
41,пiску,ЙП,пісок,5367,4,808989
42,",",,,5367,4,808990
43,і,СС,і,5367,4,808991
44,стрiляв,ГЕ,стріляти,5367,4,808992
45,горобцiв,ЙУ,горобець,5367,4,808993
46,з,ПР,з,5367,4,808994
47,рогатки,КР,рогатка,5367,4,808995
48,.,,,5367,4,808996
49,Вiн,МИ,Він,5367,5,808997
50,стрибав,ГЕ,стрибати,5367,5,808998
51,на,ПП,на,5367,5,808999
52,однiй,ЧН,один,5367,5,809000
53,нозi,КП,нога,5367,5,809001
54,",",,,5367,5,809002
55,щоб,Ь0,щоб,5367,5,809003
56,вилити,ГФ,вилити,5367,5,809004
57,з,ПР,з,5367,5,809005
58,вуха,ЛР,вухо,5367,5,809006
59,воду,КВ,вода,5367,5,809007
60,",",,,5367,5,809008
61,і,СС,і,5367,5,809009
62,раптом,Н0,раптом,5367,5,809010
63,побачив,ГЕ,побачити,5367,5,809011
64,сонце,ЛВ,сонце,5367,5,809012
65,",",,,5367,5,809013
66,красиве,АХ,красивий,5367,5,809014
67,",",,,5367,5,809015
68,засмагле,АХ,засмаглий,5367,5,809016
69,сонце,ЛВ,сонце,5367,5,809017
70,в,ПП,в,5367,5,809018
71,золотих,АЯ,золотий,5367,5,809019
72,переливах,ИЯ,переливи,5367,5,809020
73,кучерiв,ЙЕ,кучері,5367,5,809021
74,",",,,5367,5,809022
75,у,ПП,у,5367,5,809023
76,червонiй,АН,червоний,5367,5,809024
77,сорочцi,КП,сорочка,5367,5,809025
78,навипуск,Н0,навипуск,5367,5,809026
79,",",,,5367,5,809027
80,що,МС,що,5367,5,809028
81,їхало,ГР,їхати,5367,5,809029
82,на,ПП,на,5367,5,809030
83,велосипедi,ЙП,велосипед,5367,5,809031
84,",",,,5367,5,809032
85,обминаючи,Гм,обминати,5367,5,809033
86,хмари,КУ,хмара,5367,5,809034
87,у,ПП,у,5367,5,809035
88,небi,ЛП,небо,5367,5,809036
89,.,,,5367,5,809037
90,.,,,5367,5,809038
91,.,,,5367,5,809039
92,I,СС,і,5367,6,809040
93,застиг,ГЕ,застигнути,5367,6,809041
94,вiн,МИ,він,5367,6,809042
95,на,ПВ,на,5367,6,809043
96,роки,ЙУ,рік,5367,6,809044
97,i,СС,і,5367,6,809045
98,на,ПВ,на,5367,6,809046
99,столiття,ЛВ,століття,5367,6,809047
100,в,ПП,в,5367,6,809048
101,золотому,АШ,золотий,5367,6,809049
102,нiмому,АШ,німий,5367,6,809050
103,захопленнi,ЛП,захоплення,5367,6,809051
104,:,,,5367,6,809052
105,-,,-,5367,6,809053
106,Дайте,ГШ,дати,5367,6,809054
107,покататися,ГП,покататися,5367,6,809055
108,",",,,5367,6,809056
109,дядьку,ЙК,дядько,5367,6,809057
110,!,,,5367,6,809058
111,А,СС,а,5367,7,809059
112,нi,Ь0,ні,5367,7,809060
113,",",,,5367,7,809061
114,то,СП,то,5367,7,809062
115,вiзьмiть,ГШ,узяти,5367,7,809063
116,хоч,Ь0,хоч,5367,7,809064
117,на,ПВ,на,5367,7,809065
118,раму,КВ,рама,5367,7,809066
119,.,,,5367,7,809067
120,Дядьку,ЙК,дядько,5367,8,809068
121,",",,,5367,8,809069
122,хiба,Ь0,хіба,5367,8,809070
123,вам,МО,ви,5367,8,809071
124,шкода,Ґ0,шкода,5367,8,809072
125,?,,,5367,8,809073
126,!,,,5367,8,809074
127,Поезiє,КК,поезія,5367,9,809075
128,",",,,5367,9,809076
129,сонце,ЛИ,сонце,5367,9,809077
130,моє,ОС,мій,5367,9,809078
