word	code	lemm	text_fk	sentence_number	word_Id
Балада	КИ	балада	5367	1	808948
про	ПВ	про	5367	1	808949
соняшник	ЙВ	соняшник	5367	1	808950
.			5367	1	808951
В	ПР	в	5367	2	808952
соняшника	ЙР	соняшник	5367	2	808953
були	ГН	бути	5367	2	808954
руки	КА	рука	5367	2	808955
i	СС	і	5367	2	808956
ноги	КА	нога	5367	2	808957
,			5367	2	808958
було	ГР	бути	5367	2	808959
тiло	ЛИ	тіло	5367	2	808960
шорстке	АС	шорсткий	5367	2	808961
i	СС	і	5367	2	808962
зелене	АС	зелений	5367	2	808963
.			5367	2	808964
Вiн	МИ	Він	5367	3	808965
бiгав	ГЕ	бігати	5367	3	808966
наввипередки	Н0	наввипередки	5367	3	808967
з	ПТ	з	5367	3	808968
вiтром	ЙТ	вітер	5367	3	808969
,			5367	3	808970
вiн	МИ	він	5367	3	808971
вилазив	ГЕ	вилазити	5367	3	808972
на	ПВ	на	5367	3	808973
грушу	КВ	груша	5367	3	808974
i	СС	і	5367	3	808975
рвав	ГЕ	рвати	5367	3	808976
у	ПВ	у	5367	3	808977
пазуху	КВ	пазуха	5367	3	808978
гнилицi	КУ	гнилиця	5367	3	808979
.			5367	3	808980
I	СС	і	5367	4	808981
купався	ГЭ	купатися	5367	4	808982
коло	ПР	коло	5367	4	808983
млина	ЙР	млин	5367	4	808984
,			5367	4	808985
i	СС	і	5367	4	808986
лежав	ГЕ	лежати	5367	4	808987
у	ПП	у	5367	4	808988
пiску	ЙП	пісок	5367	4	808989
,			5367	4	808990
і	СС	і	5367	4	808991
стрiляв	ГЕ	стріляти	5367	4	808992
горобцiв	ЙУ	горобець	5367	4	808993
з	ПР	з	5367	4	808994
рогатки	КР	рогатка	5367	4	808995
.			5367	4	808996
Вiн	МИ	Він	5367	5	808997
стрибав	ГЕ	стрибати	5367	5	808998
на	ПП	на	5367	5	808999
однiй	ЧН	один	5367	5	809000
нозi	КП	нога	5367	5	809001
,			5367	5	809002
щоб	Ь0	щоб	5367	5	809003
вилити	ГФ	вилити	5367	5	809004
з	ПР	з	5367	5	809005
вуха	ЛР	вухо	5367	5	809006
воду	КВ	вода	5367	5	809007
,			5367	5	809008
і	СС	і	5367	5	809009
раптом	Н0	раптом	5367	5	809010
побачив	ГЕ	побачити	5367	5	809011
сонце	ЛВ	сонце	5367	5	809012
,			5367	5	809013
